AF028704.1 Adeno-associated virus 6, complete genome
NC 004208.1 Kadipiro virus chromosome segment 8, complete genome
NC 004209.1 Kadipiro virus segment 7, complete genome
NC 004210.1 Kadipiro virus chromosome segment 1, complete genome
NC 004211.1 Banna virus strain JKT-6423 segment 1, complete sequence
NC 004212.1 Kadipiro virus chromosome segment 2, complete genome
NC 004213.1 Kadipiro virus chromosome segment 3, complete genome
NC 004214.1 Kadipiro virus chromosome segment 4, complete genome
NC 004215.1 Kadipiro virus chromosome segment 5, complete genome
NC 004216.1 Kadipiro virus chromosome segment 6, complete genome
NC 004217.1 Banna virus strain JKT-6423 segment 2, complete sequence
NC 004218.1 Banna virus strain JKT-6423 segment 3, complete sequence
NC 004219.1 Banna virus strain JKT-6423 segment 4, complete sequence
NC 004220.1 Banna virus strain JKT-6423 segment 5, complete sequence
NC 004221.1 Banna virus strain JKT-6423 segment 6, complete sequence
NC 004291.1 Lymphocytic choriomeningitis virus segment L, complete sequence
NC 004292.1 Tacaribe virus segment L, complete sequence
NC 004293.1 Tacaribe virus segment S, complete sequence
NC 004294.1 Lymphocytic choriomeningitis virus segment S, complete sequence
NC 004295.1 Human erythrovirus V9, complete genome
NC 004296.1 Lassa virus segment S, complete sequence
NC 004297.1 Lassa virus segment L, complete sequence
NC 004355.1 Alkhurma virus, complete genome
NC 004718.3 SARS coronavirus, complete genome
NC 004905.2 Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 5, complete sequence
NC 004906.1 Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 8, complete sequence
NC 004907.1 Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 7, complete sequence
NC 004908.1 Influenza A virus ha gene for Hemagglutinin, genomic RNA, strain A/Hong Kong/1073/99(H9N2)
NC 004909.1 Influenza A virus na gene for neuraminidase, genomic RNA, strain A/Hong Kong/1073/99(H9N2)
NC 004910.1 Influenza A virus pb2 gene for polymerase Pb2, genomic RNA, strain A/Hong Kong/1073/99(H9N2)
NC 004911.1 Influenza A virus pb1 gene for polymerase Pb1, genomic RNA, strain A/Hong Kong/1073/99(H9N2)
NC 004912.1 Influenza A virus pa gene for polymerase PA, genomic RNA, strain A/Hong Kong/1073/99(H9N2)
NC 005036.1 Goose paramyxovirus SF02, complete genome
NC 005039.1 Yokose virus, complete genome
NC 005062.1 Omsk hemorrhagic fever virus, complete genome
NC 005064.1 Kamiti River virus, complete genome
NC 005077.1 Guanarito virus segment S, complete genome
NC 005078.1 Machupo virus segment S, complete genome
NC 005079.1 Machupo virus segment L, complete genome
NC 005080.1 Junin virus segment L, complete genome
NC 005081.1 Junin virus segment S, complete genome
NC 005082.1 Guanarito virus segment L, complete genome
NC 005084.2 Fer-de-lance virus, complete genome
NC 005147.1 Human coronavirus OC43, complete genome
NC 005214.1 Uukuniemi virus segment L, complete sequence
NC 005215.1 Sin Nombre virus segment M, complete genome
NC 005216.1 Sin Nombre virus segment S, complete sequence
NC 005217.1 Sin Nombre virus map viral genome L segment
NC 005218.1 Hantaan virus, complete genome
NC 005219.1 Hantaan virus, complete genome
NC 005220.1 Uukuniemi virus chromosome segment M, complete genome
NC 005221.1 Uukuniemi virus, complete genome
NC 005222.1 Hantaan virus segment L, complete genome
NC 005223.1 Puumala virus segment M, complete sequence
NC 005224.1 Puumala virus segment S, complete sequence
NC 005225.1 Puumala virus segment L, complete genome
NC 005226.1 Tula virus segment L, complete sequence
NC 005227.2 Tula virus segment S, complete genome
NC 005228.1 Tula virus segment M, complete sequence
NC 005233.1 Dobrava virus complete S segment gene for nucleocapsid protein, strain DOBV/Ano-Poroia/Afl9/1999
NC 005234.1 Dobrava virus complete M segment gene for glycoprotein precursor (G1-G2), strain DOBV/Ano-Poroia/Afl9/1999)
NC 005235.1 Dobrava virus complete L segment gene for polymerase protein, strain DOBV/Ano-Poroia/Afl9/1999)
NC 005236.1 Seoul virus strain 80-39 segment S, complete sequence
NC 005237.1 Seoul virus segment M, complete sequence
NC 005238.1 Seoul virus strain Seoul 80-39 clone 1
NC 005283.1 Dolphin morbillivirus, complete genome
NC 005300.2 Crimean-Congo hemorrhagic fever virus segment M, complete sequence
NC 005301.3 Crimean-Congo hemorrhagic fever virus segment L, complete sequence
NC 005302.1 Crimean-Congo hemorrhagic fever virus segment S, complete sequence
NC 005339.1 Mossman virus, complete genome
NC 005775.1 Oropouche virus segment M, complete sequence
NC 005776.1 Oropouche virus segment L, complete genome
NC 005777.1 Oropouche virus segment S, complete genome
NC 005831.2 Human Coronavirus NL63, complete genome
NC 005894.1 Pirital virus segment S, complete sequence
NC 005897.1 Pirital virus segment L, complete genome
NC 006152.1 Adeno-associated virus 5, complete genome
NC 006260.1 Adeno-associated virus - 7, complete genome
NC 006261.1 Adeno-associated virus - 8, complete genome
NC 006269.1 Sapovirus Hu/Dresden/pJG-Sap01/DE, complete genome
NC 006273.2 Human herpesvirus 5 strain Merlin, complete genome
NC 006296.2 Rinderpest virus (strain Kabete O), complete genome
NC 006306.2 Influenza C virus (C/Ann Arbor/1/50) segment 7, complete sequence
NC 006307.1 Influenza C virus (C/Ann Arbor/1/50) segment 1, complete sequence
NC 006308.1 Influenza C virus (C/Ann Arbor/1/50) segment 2, complete sequence
NC 006309.1 Influenza C virus (C/Ann Arbor/1/50) segment 3, complete sequence
NC 006310.1 Influenza C virus (C/Ann Arbor/1/50) segment 4, complete sequence
NC 006311.1 Influenza C virus (C/Ann Arbor/1/50) segment 5, complete sequence
NC 006312.1 Influenza C virus (C/Ann Arbor/1/50) segment 6, complete sequence
NC 006313.1 Sabia virus segment L, complete genome
NC 006317.1 Sabia virus, complete genome
NC 006318.1 Toscana virus segment S, complete sequence
NC 006319.1 Toscana virus segment L, complete sequence
NC 006320.1 Toscana virus segment M, complete sequence
NC 006383.2 Peste des petits ruminants virus complete genome
NC 006428.1 Simian virus 41, complete genome
NC 006429.1 Mokola virus, complete genome
NC 006430.1 Parainfluenza virus 5, complete genome
NC 006432.1 Sudan ebolavirus isolate Sudan virus/H.sapiens-tc/UGA/2000/Gulu-808892, complete genome
NC 006433.1 Hantavirus Z10 chromosome S segment, complete genome
NC 006435.1 Hantavirus Z10 chromosome L, complete genome
NC 006437.1 Hantavirus Z10 segment M, complete genome
NC 006439.1 Pichinde virus L RNA, complete genome
NC 006447.1 Pichinde virus, complete genome
NC 006495.1 Thogoto virus segment 2, complete sequence
NC 006496.1 Thogoto virus segment 3, complete sequence
NC 006504.1 Thogoto virus segment 6, complete sequence
NC 006506.1 Thogoto virus segment 4, complete sequence
NC 006507.1 Thogoto virus segment 5, complete sequence
NC 006508.1 Thogoto virus segment 1, complete sequence
NC 006551.1 Usutu virus, complete genome
NC 006554.1 Sapovirus C12 strain C12
NC 006572.1 Mopeia Lassa reassortant 29 segment L, complete genome
NC 006573.1 Mopeia Lassa reassortant 29 segment S, complete genome
NC 006574.1 Mopeia virus AN20410 segment L, complete genome
NC 006575.1 Mopeia virus AN20410 segment S, complete genome
NC 006577.2 Human coronavirus HKU1, complete genome
NC 006579.1 Pneumonia virus of mice J3666, complete genome
NC 006947.1 Karshi virus, complete genome
NC 006998.1 Vaccinia virus, complete genome
NC 007013.1 Small anellovirus 1, complete genome
NC 007014.1 Small anellovirus 2, complete genome
NC 007026.1 Human picobirnavirus RNA segment 1, complete sequence
NC 007027.1 Human picobirnavirus RNA segment 2, complete sequence
NC 007357.1 Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) polymerase (PB2) gene, complete cds
NC 007358.1 Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) polymerase (PB1) gene, complete cds
NC 007359.1 Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) polymerase (PA) gene, complete cds
NC 007360.1 Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) nucleocapsid protein (NP) gene, complete cds
NC 007361.1 Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) neuraminidase (NA) gene, complete cds
NC 007362.1 Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) hemagglutinin (HA) gene, complete cds
NC 007363.1 Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) segment 7, complete sequence
NC 007364.1 Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) segment 8, complete sequence
NC 007366.1 Influenza A virus (A/New York/392/2004(H3N2)) segment 4, complete sequence
NC 007367.1 Influenza A virus (A/New York/392/2004(H3N2)) segment 7, complete sequence
NC 007368.1 Influenza A virus (A/New York/392/2004(H3N2)) segment 6, complete sequence
NC 007369.1 Influenza A virus (A/New York/392/2004(H3N2)) segment 5, complete sequence
NC 007370.1 Influenza A virus (A/New York/392/2004(H3N2)) segment 8, complete sequence
NC 007371.1 Influenza A virus (A/New York/392/2004(H3N2)) segment 3, complete sequence
NC 007372.1 Influenza A virus (A/New York/392/2004(H3N2)) segment 2, complete sequence
NC 007373.1 Influenza A virus (A/New York/392/2004(H3N2)) segment 1, complete sequence
NC 007374.1 Influenza A virus (A/Korea/426/1968(H2N2)) segment 4, complete sequence
NC 007375.1 Influenza A virus (A/Korea/426/1968(H2N2)) segment 2, complete sequence
NC 007376.1 Influenza A virus (A/Korea/426/1968(H2N2)) segment 3, complete sequence
NC 007377.1 Influenza A virus (A/Korea/426/1968(H2N2)) segment 7, complete sequence
NC 007378.1 Influenza A virus (A/Korea/426/1968(H2N2)) segment 1, complete sequence
NC 007380.1 Influenza A virus (A/Korea/426/1968(H2N2)) segment 8, complete sequence
NC 007381.1 Influenza A virus (A/Korea/426/1968(H2N2)) segment 5, complete sequence
NC 007382.1 Influenza A virus (A/Korea/426/1968(H2N2)) segment 6, complete sequence
NC 007454.1 J-virus, complete genome
NC 007455.1 Human bocavirus, complete genome
NC 007543.1 Rotavirus C segment 6, complete sequence
NC 007544.1 Rotavirus C segment 7, complete sequence
NC 007545.1 Rotavirus C segment 9, complete sequence
NC 007546.1 Rotavirus C segment 2, complete sequence
NC 007547.1 Rotavirus C segment 1, complete sequence
NC 007548.1 Adult diarrheal rotavirus strain J19, complete genome
NC 007549.1 Adult diarrheal rotavirus strain J19, complete genome
NC 007550.1 Adult diarrheal rotavirus strain J19, complete genome
NC 007551.1 Adult diarrheal rotavirus strain J19, complete genome
NC 007552.1 Adult diarrheal rotavirus strain J19, complete genome
NC 007553.1 Adult diarrheal rotavirus strain J19, complete genome
NC 007554.1 Adult diarrheal rotavirus strain J19, complete genome
NC 007555.1 Adult diarrheal rotavirus strain J19, complete genome
NC 007556.1 Adult diarrheal rotavirus strain J19, complete genome
NC 007557.1 Adult diarrheal rotavirus strain J19, complete genome
NC 007558.1 Adult diarrheal rotavirus strain J19, complete genome
NC 007569.1 Rotavirus C segment 10, complete sequence
NC 007570.1 Rotavirus C segment 5, complete sequence
NC 007571.1 Rotavirus C segment 8, complete sequence
NC 007572.1 Rotavirus C segment 3, complete sequence
NC 007573.1 Rotavirus C segment 11, complete sequence
NC 007574.1 Rotavirus C segment 4, complete sequence
NC 007580.2 St. Louis encephalitis virus, complete genome
NC 007605.1 Human herpesvirus 4 complete wild type genome
NC 007620.1 Menangle virus, complete genome
NC 007652.1 Avian metapneumovirus
NC 007736.1 Liao ning virus segment 1, complete genome
NC 007737.1 Liao ning virus segment 2, complete genome
NC 007738.1 Liao ning virus segment 3, complete genome
NC 007739.1 Liao ning virus segment 4, complete genome
NC 007740.1 Liao ning virus segment 5, complete genome
NC 007741.1 Liao ning virus segment 6, complete genome
NC 007742.1 Liao ning virus segment 7, complete genome
NC 007743.1 Liao ning virus segment 8, complete genome
NC 007744.1 Liao ning virus segment 9, complete genome
NC 007745.1 Liao ning virus segment 10, complete genome
NC 007746.1 Liao ning virus segment 11, complete genome
NC 007747.1 Liao ning virus segment 12, complete genome
NC 007803.1 Beilong virus, complete genome
NC 007903.1 Mobala virus segment S, complete sequence
NC 007904.1 Mobala virus segment L, complete sequence
NC 007905.1 Ippy virus segment S, complete sequence
NC 007906.1 Ippy virus segment L, complete sequence
NC 008604.2 Culex flavivirus, complete genome
NC 008718.1 Entebbe bat virus, complete genome
NC 008719.1 Sepik virus, complete genome
NC 009026.2 Bussuquara virus, complete genome
NC 009028.2 Ilheus virus, complete genome
NC 009029.2 Kokobera virus, complete genome
NC 009225.1 Torque teno midi virus 1, complete genome
NC 009238.1 KI polyomavirus Stockholm 60, complete genome
NC 009333.1 Human herpesvirus 8, complete genome
NC 009334.1 Human herpesvirus 4, complete genome
NC 009489.1 Mapuera virus, complete genome
NC 009527.1 European bat lyssavirus 1, complete genome
NC 009528.1 European bat lyssavirus 2, complete genome
NC 009539.1 WU Polyomavirus, complete genome
NC 009640.1 Porcine rubulavirus, complete genome
NC 009823.1 Hepatitis C virus genotype 2, complete genome
NC 009824.1 Hepatitis C virus genotype 3, genome
NC 009825.1 Hepatitis C virus genotype 4, genome
NC 009826.1 Hepatitis C virus genotype 5, genome
NC 009827.1 Hepatitis C virus genotype 6, complete genome
NC 009894.1 Akabane virus segment L, complete sequence
NC 009895.1 Akabane virus segment M, complete sequence
NC 009896.1 Akabane virus segment S, complete sequence
NC 009942.1 West Nile virus lineage 1, complete genome
NC 010247.1 Amapari virus segment S, complete sequence
NC 010248.1 Oliveros virus segment S, complete sequence
NC 010249.1 Allpahuayo virus segment L, complete sequence
NC 010250.1 Oliveros virus segment L, complete sequence
NC 010251.1 Amapari virus segment L, complete sequence
NC 010252.1 Cupixi virus segment L, complete sequence
NC 010253.1 Allpahuayo virus segment S, complete sequence
NC 010254.1 Cupixi virus segment S, complete sequence
NC 010255.1 Bear Canyon virus segment L, complete sequence
NC 010256.1 Bear Canyon virus segment S, complete sequence
NC 010277.1 Merkel cell polyomavirus, complete genome
NC 010562.1 Chapare virus segment S, complete sequence
NC 010563.1 Chapare virus segment L, complete sequence
NC 010624.1 Sapovirus Mc10, complete genome
NC 010700.1 Whitewater Arroyo virus segment S, complete sequence
NC 010701.1 Tamiami virus segment S (small), complete genome
NC 010702.1 Tamiami virus segment L, complete sequence
NC 010703.1 Whitewater Arroyo virus segment L, complete sequence
NC 010704.1 Thottapalayam virus segment S, complete sequence
NC 010707.1 Thottapalayam virus segment L, complete sequence
NC 010708.1 Thottapalayam virus segment M, complete sequence
NC 010756.1 Parana virus segment S (small), complete genome
NC 010757.1 Flexal virus segment S, complete sequence
NC 010758.1 Latino virus segment S, complete sequence
NC 010759.1 Flexal virus segment L, complete sequence
NC 010760.1 Latino virus segment L, complete sequence
NC 010761.1 Parana virus segment L, complete sequence
NC 010956.1 Human adenovirus D, complete genome
NC 011202.1 Human adenovirus B2, complete genome
NC 011203.1 Human adenovirus B1, complete genome
NC 011500.2 Rotavirus A segment 5, complete genome
NC 011501.2 Rotavirus A segment 7, complete genome
NC 011502.2 Rotavirus A segment 8, complete genome
NC 011503.2 Rotavirus A segment 9, complete genome
NC 011504.2 Rotavirus A segment 10, complete genome
NC 011505.2 Rotavirus A segment 11, complete genome
NC 011506.2 Rotavirus A segment 2, complete genome
NC 011507.2 Rotavirus A segment 1, complete genome
NC 011508.2 Rotavirus A segment 3, complete genome
NC 011509.2 Rotavirus A segment 6, complete genome
NC 011510.2 Rotavirus A segment 4, complete genome
NC 011800.1 Human T-lymphotropic virus 4, complete genome
NC 012042.1 Human bocavirus 2c PK isolate PK-5510, complete genome
NC 012126.1 California sea lion anellovirus, complete genome
NC 012532.1 Zika virus, complete genome
NC 012533.1 Kedougou virus, complete genome
NC 012534.1 Bagaza virus, complete genome
NC 012564.1 Human bocavirus 3, complete genome
NC 012671.1 Quang Binh virus, complete genome
NC 012729.2 Human bocavirus 4 NI strain HBoV4-NI-385, complete genome
NC 012735.1 Wesselsbron virus, complete genome
NC 012776.1 Lujo virus segment S, complete genome
NC 012777.1 Lujo virus segment L, complete genome
NC 012932.1 Aedes flavivirus genomic RNA, complete genome, strain: Narita-21
NC 012950.1 Human enteric coronavirus strain 4408, complete genome
NC 012959.1 Human adenovirus 54, complete genome
NC 013057.1 Morogoro virus segment S, complete genome
NC 013058.1 Morogoro virus segment L, complete genome
NC 014068.1 Torque teno mini virus 8, complete genome
NC 014069.1 Torque teno virus 4, complete genome
NC 014070.1 Torque teno sus virus 1a, complete genome
NC 014071.1 Torque teno canis virus, complete genome
NC 014072.1 Torque teno felis virus, complete genome
NC 014073.1 Torque teno virus 28, complete genome
NC 014074.1 Torque teno virus 27, complete genome
NC 014075.1 Torque teno virus 12, complete genome
NC 014076.1 Torque teno virus 10, complete genome
NC 014077.1 Torque teno virus 14, complete genome
NC 014078.1 Torque teno virus 19, complete genome
NC 014079.1 Torque teno virus 26, complete genome
NC 014080.1 Torque teno virus 7, complete genome
NC 014081.1 Torque teno virus 3, complete genome
NC 014082.1 Torque teno mini virus 7, complete genome
NC 014083.1 Torque teno virus 25, complete genome
NC 014084.1 Torque teno virus 8, complete genome
NC 014085.1 Torque teno tamarin virus, complete genome
NC 014086.1 Torque teno mini virus 2, complete genome
NC 014087.1 Torque teno douroucouli virus, complete genome
NC 014088.1 Torque teno mini virus 3, complete genome
NC 014089.1 Torque teno mini virus 5, complete genome
NC 014090.1 Torque teno mini virus 4, complete genome
NC 014091.1 Torque teno virus 16, complete genome
NC 014092.2 Torque teno sus virus k2 isolate 2p, complete genome
NC 014093.1 Torque teno midi virus 2, complete genome
NC 014094.1 Torque teno virus 6, complete genome
NC 014095.1 Torque teno mini virus 6, complete genome
NC 014096.1 Torque teno virus 15, complete genome
NC 014097.1 Torque teno mini virus 1, complete genome
NC 014372.1 Tai Forest ebolavirus isolate Tai Forest virus/H.sapiens-tc/CIV/1994/Pauleoula-CI, complete genome
NC 014373.1 Bundibugyo ebolavirus isolate Bundibugyo virus/H.sapiens-tc/UGA/2007/Butalya-811250, complete genome
NC 014395.1 Rift Valley fever virus segment S, complete genome
NC 014396.1 Rift Valley fever virus segment M, complete genome
NC 014397.1 Rift Valley fever virus segment L, complete genome
NC 014480.2 Torque teno virus 2, complete genome
NC 014522.1 Great Island virus segment 1, complete genome
NC 014523.1 Great Island virus segment 2, complete genome
NC 014524.1 Great Island virus segment 3, complete genome
NC 014525.1 Great Island virus segment 4, complete genome
NC 014526.1 Great Island virus segment 5, complete genome
NC 014527.1 Great Island virus segment 6, complete genome
NC 014528.1 Great Island virus segment 7, complete genome
NC 014529.1 Great Island virus segment 8, complete genome
NC 014530.1 Great Island virus segment 9, complete genome
NC 014531.1 Great Island virus segment 10, complete genome
NC 015212.1 Seal anellovirus TFFN/USA/2006, complete genome
NC 015373.1 Candiru virus segment M, complete genome
NC 015374.1 Candiru virus segment L, complete genome
NC 015375.1 Candiru virus segment S, complete genome
NC 015411.1 Sandfly Sicilian Turkey virus segment M, complete genome
NC 015412.1 Sandfly Sicilian Turkey virus segment L, complete genome
NC 015413.1 Sandfly Sicilian Turkey virus segment S, complete genome
NC 015450.1 Aguacate virus segment M, complete genome
NC 015451.1 Aguacate virus segment L, complete genome
NC 015452.1 Aguacate virus segment S, complete genome
NC 015521.1 Cutthroat trout virus, complete genome
NC 015691.1 Macaca fascicularis papillomavirus type 2, complete genome
NC 015692.1 Colobus guereza papillomavirus type 2, complete genome
NC 015783.1 Torque teno virus, complete genome
NC 015843.2 Tembusu virus strain JS804, complete genome
